naca pippo
  1.000083  0.000624
  0.998556  0.000937
  0.993983  0.001868
  0.986390  0.003398
  0.975823  0.005499
  0.962341  0.008128
  0.946024  0.011234
  0.926968  0.014758
  0.905284  0.018633
  0.881100  0.022788
  0.854562  0.027146
  0.825826  0.031631
  0.795066  0.036162
  0.762467  0.040663
  0.728226  0.045056
  0.692552  0.049268
  0.655664  0.053229
  0.617787  0.056874
  0.579155  0.060144
  0.540007  0.062985
  0.500588  0.065352
  0.461143  0.067207
  0.421921  0.068521
  0.383032  0.069234
  0.344680  0.069034
  0.307290  0.067883
  0.271108  0.065832
  0.236376  0.062950
  0.203323  0.059324
  0.172166  0.055055
  0.143108  0.050259
  0.116338  0.045057
  0.092026  0.039581
  0.070322  0.033959
  0.051359  0.028321
  0.035248  0.022787
  0.022083  0.017469
  0.011933  0.012462
  0.004851  0.007846
  0.000870  0.003680
  0.000000  0.000000
  0.002213 -0.003064
  0.007460 -0.005403
  0.015697 -0.007032
  0.026861 -0.007980
  0.040872 -0.008288
  0.057635 -0.008007
  0.077038 -0.007202
  0.098957 -0.005944
  0.123256 -0.004314
  0.149785 -0.002403
  0.178386 -0.000306
  0.208892  0.001879
  0.241125  0.004049
  0.274901  0.006104
  0.310027  0.007945
  0.346303  0.009481
  0.383522  0.010626
  0.421644  0.011374
  0.460397  0.011972
  0.499412  0.012425
  0.538452  0.012707
  0.577280  0.012798
  0.615659  0.012688
  0.653353  0.012377
  0.690131  0.011870
  0.725765  0.011183
  0.760032  0.010337
  0.792720  0.009360
  0.823622  0.008283
  0.852545  0.007140
  0.879306  0.005969
  0.903733  0.004805
  0.925672  0.003684
  0.944982  0.002639
  0.961538  0.001700
  0.975234  0.000894
  0.985979  0.000243
  0.993705 -0.000235
  0.998361 -0.000526
  0.999917 -0.000624
