AeroDyn airfoil file Created with QBlade v0.963 64bit on 23.06.2022 at 20:00:17 Compatible with AeroDyn v13.0.
Polar "T1_Re0.050_M0.00_N9.0 360 M" on Foil "T1_Re0.050_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
48.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
4.91549        Cn slope for zero lift for linear Cn curve (1/rad)
-0.5485        Cn at stall value for positive angle of attack for linear Cn curve
-0.7580        Cn at stall value for negative angle of attack for linear Cn curve
-6.00          Angle of attack for minimum CD (deg)
0.0122         Minimum CD value
   -180.00    0.0000    0.0060
   -179.00    0.0688    0.0065
   -178.00    0.1375    0.0081
   -177.00    0.2052    0.0108
   -176.00    0.2693    0.0145
   -175.00    0.3251    0.0193
   -174.00    0.3680    0.0252
   -173.00    0.3963    0.0321
   -172.00    0.4131    0.0400
   -171.00    0.4237    0.0490
   -170.00    0.4332    0.0590
   -169.00    0.4442    0.0699
   -168.00    0.4578    0.0819
   -167.00    0.4739    0.0949
   -166.00    0.4920    0.1088
   -165.00    0.5118    0.1236
   -164.00    0.5326    0.1394
   -163.00    0.5540    0.1561
   -162.00    0.5757    0.1737
   -161.00    0.5975    0.1921
   -160.00    0.6190    0.2114
   -159.00    0.6403    0.2315
   -158.00    0.6610    0.2524
   -157.00    0.6811    0.2741
   -156.00    0.7006    0.2965
   -155.00    0.7193    0.3197
   -154.00    0.7371    0.3435
   -153.00    0.7541    0.3680
   -152.00    0.7701    0.3931
   -151.00    0.7851    0.4188
   -150.00    0.7992    0.4450
   -149.00    0.8122    0.4719
   -148.00    0.8241    0.4992
   -147.00    0.8349    0.5269
   -146.00    0.8446    0.5552
   -145.00    0.8532    0.5838
   -144.00    0.8606    0.6127
   -143.00    0.8669    0.6421
   -142.00    0.8720    0.6717
   -141.00    0.8759    0.7015
   -140.00    0.8786    0.7316
   -139.00    0.8801    0.7619
   -138.00    0.8805    0.7923
   -137.00    0.8797    0.8228
   -136.00    0.8776    0.8534
   -135.00    0.8744    0.8841
   -134.00    0.8701    0.9147
   -133.00    0.8645    0.9453
   -132.00    0.8578    0.9759
   -131.00    0.8500    1.0063
   -130.00    0.8410    1.0366
   -129.00    0.8309    1.0667
   -128.00    0.8197    1.0965
   -127.00    0.8074    1.1261
   -126.00    0.7941    1.1554
   -125.00    0.7797    1.1844
   -124.00    0.7643    1.2130
   -123.00    0.7480    1.2412
   -122.00    0.7306    1.2690
   -121.00    0.7123    1.2963
   -120.00    0.6931    1.3231
   -119.00    0.6730    1.3494
   -118.00    0.6520    1.3751
   -117.00    0.6303    1.4002
   -116.00    0.6077    1.4247
   -115.00    0.5843    1.4485
   -114.00    0.5603    1.4716
   -113.00    0.5355    1.4941
   -112.00    0.5101    1.5157
   -111.00    0.4840    1.5366
   -110.00    0.4574    1.5567
   -109.00    0.4294    1.5760
   -108.00    0.4017    1.5945
   -107.00    0.3736    1.6121
   -106.00    0.3449    1.6287
   -105.00    0.3159    1.6445
   -104.00    0.2866    1.6594
   -103.00    0.2569    1.6733
   -102.00    0.2269    1.6863
   -101.00    0.1967    1.6982
   -100.00    0.1662    1.7092
    -99.00    0.1356    1.7192
    -98.00    0.1049    1.7281
    -97.00    0.0741    1.7361
    -96.00    0.0432    1.7430
    -95.00    0.0124    1.7488
    -94.00   -0.0185    1.7536
    -93.00   -0.0493    1.7573
    -92.00   -0.0800    1.7600
    -91.00   -0.1105    1.7616
    -90.00   -0.1409    1.7621
    -89.00   -0.1710    1.7616
    -88.00   -0.2009    1.7600
    -87.00   -0.2305    1.7573
    -86.00   -0.2598    1.7536
    -85.00   -0.2888    1.7488
    -84.00   -0.3173    1.7429
    -83.00   -0.3455    1.7360
    -82.00   -0.3732    1.7281
    -81.00   -0.4004    1.7191
    -80.00   -0.4271    1.7092
    -79.00   -0.4532    1.6982
    -78.00   -0.4788    1.6862
    -77.00   -0.5038    1.6732
    -76.00   -0.5281    1.6593
    -75.00   -0.5518    1.6444
    -74.00   -0.5749    1.6287
    -73.00   -0.5972    1.6120
    -72.00   -0.6188    1.5944
    -71.00   -0.6397    1.5759
    -70.00   -0.6598    1.5566
    -69.00   -0.6791    1.5365
    -68.00   -0.6976    1.5156
    -67.00   -0.7153    1.4939
    -66.00   -0.7321    1.4715
    -65.00   -0.7481    1.4483
    -64.00   -0.7633    1.4245
    -63.00   -0.7775    1.4000
    -62.00   -0.7909    1.3749
    -61.00   -0.8033    1.3492
    -60.00   -0.8148    1.3229
    -59.00   -0.8254    1.2961
    -58.00   -0.8351    1.2688
    -57.00   -0.8439    1.2410
    -56.00   -0.8516    1.2127
    -55.00   -0.8585    1.1841
    -54.00   -0.8644    1.1551
    -53.00   -0.8693    1.1258
    -52.00   -0.8733    1.0962
    -51.00   -0.8763    1.0663
    -50.00   -0.8784    1.0362
    -49.00   -0.8795    1.0059
    -48.00   -0.8796    0.9754
    -47.00   -0.8788    0.9448
    -46.00   -0.8771    0.9142
    -45.00   -0.8745    0.8835
    -44.00   -0.8709    0.8528
    -43.00   -0.8664    0.8222
    -42.00   -0.8610    0.7916
    -41.00   -0.8547    0.7611
    -40.00   -0.8475    0.7308
    -39.00   -0.8394    0.7006
    -38.00   -0.8306    0.6707
    -37.00   -0.8208    0.6410
    -36.00   -0.8103    0.6116
    -35.00   -0.7990    0.5825
    -34.00   -0.7870    0.5537
    -33.00   -0.7742    0.5254
    -32.00   -0.7607    0.4974
    -31.00   -0.7466    0.4699
    -30.00   -0.7319    0.4429
    -29.00   -0.7167    0.4164
    -28.00   -0.7010    0.3904
    -27.00   -0.6850    0.3649
    -26.00   -0.6688    0.3400
    -25.00   -0.6524    0.3157
    -24.00   -0.6363    0.2919
    -23.00   -0.6205    0.2688
    -22.00   -0.6056    0.2461
    -21.00   -0.5920    0.2241
    -20.00   -0.5806    0.2024
    -19.00   -0.5726    0.1812
    -18.00   -0.5697    0.1602
    -17.00   -0.5742    0.1393
    -16.00   -0.5896    0.1182
    -15.00   -0.6199    0.0968
    -14.00   -0.6680    0.0752
    -13.00   -0.7313    0.0542
    -12.00   -0.7947    0.0358
    -11.00   -0.8311    0.0226
    -10.00   -0.8200    0.0155
     -9.00   -0.7655    0.0128
     -8.00   -0.6873    0.0122
     -7.00   -0.6020    0.0122
     -6.00   -0.5160    0.0122
     -5.00   -0.5478    0.0326
     -4.50   -0.4946    0.0274
     -4.00   -0.4392    0.0230
     -3.50   -0.4069    0.0164
     -3.00   -0.2533    0.0162
     -2.50   -0.2138    0.0153
     -2.00   -0.1722    0.0148
     -1.50   -0.1296    0.0145
     -1.00   -0.0865    0.0143
     -0.50   -0.0434    0.0142
      0.00   -0.0000    0.0142
      0.50    0.0434    0.0142
      1.00    0.0866    0.0143
      1.50    0.1296    0.0145
      2.00    0.1723    0.0148
      2.50    0.2139    0.0153
      3.00    0.2533    0.0161
      3.50    0.4069    0.0164
      4.00    0.4392    0.0230
      4.50    0.4946    0.0274
      5.00    0.5478    0.0326
      6.00    0.4043    0.0163
      7.00    0.4301    0.0206
      8.00    0.4458    0.0267
      9.00    0.4550    0.0346
     10.00    0.4612    0.0442
     11.00    0.4668    0.0553
     12.00    0.4734    0.0677
     13.00    0.4814    0.0813
     14.00    0.4912    0.0959
     15.00    0.5028    0.1116
     16.00    0.5158    0.1281
     17.00    0.5300    0.1456
     18.00    0.5453    0.1639
     19.00    0.5612    0.1830
     20.00    0.5778    0.2029
     21.00    0.5947    0.2236
     22.00    0.6117    0.2450
     23.00    0.6288    0.2672
     24.00    0.6459    0.2901
     25.00    0.6628    0.3136
     26.00    0.6794    0.3378
     27.00    0.6957    0.3626
     28.00    0.7115    0.3881
     29.00    0.7269    0.4141
     30.00    0.7418    0.4406
     31.00    0.7561    0.4677
     32.00    0.7698    0.4952
     33.00    0.7829    0.5232
     34.00    0.7952    0.5516
     35.00    0.8069    0.5804
     36.00    0.8178    0.6096
     37.00    0.8280    0.6391
     38.00    0.8373    0.6688
     39.00    0.8459    0.6988
     40.00    0.8536    0.7291
     41.00    0.8605    0.7595
     42.00    0.8665    0.7900
     43.00    0.8717    0.8207
     44.00    0.8759    0.8514
     45.00    0.8793    0.8821
     46.00    0.8817    0.9129
     47.00    0.8832    0.9435
     48.00    0.8838    0.9742
     49.00    0.8835    1.0047
     50.00    0.8822    1.0350
     51.00    0.8800    1.0652
     52.00    0.8768    1.0951
     53.00    0.8727    1.1248
     54.00    0.8676    1.1541
     55.00    0.8616    1.1832
     56.00    0.8546    1.2118
     57.00    0.8467    1.2401
     58.00    0.8379    1.2679
     59.00    0.8281    1.2953
     60.00    0.8174    1.3221
     61.00    0.8057    1.3485
     62.00    0.7932    1.3742
     63.00    0.7798    1.3994
     64.00    0.7654    1.4239
     65.00    0.7502    1.4477
     66.00    0.7342    1.4709
     67.00    0.7172    1.4933
     68.00    0.6995    1.5150
     69.00    0.6809    1.5360
     70.00    0.6615    1.5561
     71.00    0.6414    1.5754
     72.00    0.6205    1.5939
     73.00    0.5988    1.6115
     74.00    0.5764    1.6282
     75.00    0.5533    1.6440
     76.00    0.5296    1.6589
     77.00    0.5052    1.6728
     78.00    0.4802    1.6858
     79.00    0.4545    1.6978
     80.00    0.4284    1.7088
     81.00    0.4016    1.7188
     82.00    0.3744    1.7278
     83.00    0.3467    1.7357
     84.00    0.3185    1.7426
     85.00    0.2899    1.7485
     86.00    0.2609    1.7533
     87.00    0.2316    1.7571
     88.00    0.2020    1.7598
     89.00    0.1720    1.7614
     90.00    0.1418    1.7619
     91.00    0.1115    1.7614
     92.00    0.0809    1.7598
     93.00    0.0502    1.7571
     94.00    0.0194    1.7534
     95.00   -0.0115    1.7486
     96.00   -0.0424    1.7428
     97.00   -0.0733    1.7359
     98.00   -0.1041    1.7280
     99.00   -0.1349    1.7190
    100.00   -0.1655    1.7091
    101.00   -0.1959    1.6981
    102.00   -0.2262    1.6861
    103.00   -0.2562    1.6732
    104.00   -0.2859    1.6593
    105.00   -0.3153    1.6444
    106.00   -0.3443    1.6286
    107.00   -0.3729    1.6119
    108.00   -0.4011    1.5944
    109.00   -0.4288    1.5759
    110.00   -0.4574    1.5566
    111.00   -0.4840    1.5365
    112.00   -0.5101    1.5156
    113.00   -0.5355    1.4940
    114.00   -0.5603    1.4716
    115.00   -0.5844    1.4484
    116.00   -0.6077    1.4246
    117.00   -0.6303    1.4002
    118.00   -0.6521    1.3750
    119.00   -0.6730    1.3493
    120.00   -0.6931    1.3231
    121.00   -0.7123    1.2963
    122.00   -0.7306    1.2690
    123.00   -0.7480    1.2412
    124.00   -0.7644    1.2130
    125.00   -0.7798    1.1844
    126.00   -0.7941    1.1554
    127.00   -0.8075    1.1261
    128.00   -0.8197    1.0965
    129.00   -0.8309    1.0666
    130.00   -0.8410    1.0365
    131.00   -0.8500    1.0063
    132.00   -0.8579    0.9758
    133.00   -0.8646    0.9453
    134.00   -0.8701    0.9147
    135.00   -0.8745    0.8841
    136.00   -0.8777    0.8534
    137.00   -0.8797    0.8228
    138.00   -0.8805    0.7923
    139.00   -0.8802    0.7619
    140.00   -0.8787    0.7316
    141.00   -0.8759    0.7015
    142.00   -0.8720    0.6716
    143.00   -0.8669    0.6420
    144.00   -0.8607    0.6127
    145.00   -0.8533    0.5838
    146.00   -0.8447    0.5551
    147.00   -0.8350    0.5269
    148.00   -0.8242    0.4992
    149.00   -0.8123    0.4718
    150.00   -0.7993    0.4450
    151.00   -0.7853    0.4188
    152.00   -0.7702    0.3931
    153.00   -0.7542    0.3680
    154.00   -0.7373    0.3435
    155.00   -0.7194    0.3197
    156.00   -0.7008    0.2965
    157.00   -0.6814    0.2741
    158.00   -0.6612    0.2524
    159.00   -0.6405    0.2315
    160.00   -0.6193    0.2114
    161.00   -0.5978    0.1921
    162.00   -0.5761    0.1737
    163.00   -0.5544    0.1561
    164.00   -0.5330    0.1394
    165.00   -0.5122    0.1236
    166.00   -0.4925    0.1088
    167.00   -0.4743    0.0949
    168.00   -0.4581    0.0819
    169.00   -0.4444    0.0699
    170.00   -0.4332    0.0590
    171.00   -0.4234    0.0490
    172.00   -0.4124    0.0400
    173.00   -0.3955    0.0321
    174.00   -0.3672    0.0252
    175.00   -0.3245    0.0193
    176.00   -0.2689    0.0145
    177.00   -0.2051    0.0108
    178.00   -0.1375    0.0081
    179.00   -0.0688    0.0065
    180.00    0.0000    0.0060
    180.00    0.0000    0.0060
