AeroDyn airfoil file Created with QBlade v0.963 64bit on 18.06.2022 at 14:02:26 Compatible with AeroDyn v13.0.
Polar "T1_Re0.050_M0.00_N9.0 360 M" on Foil "T1_Re0.050_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
8.00           Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.15          Angle of attack for zero Cn for linear Cn curve (deg)
8.76021        Cn slope for zero lift for linear Cn curve (1/rad)
0.8357         Cn at stall value for positive angle of attack for linear Cn curve
-0.8163        Cn at stall value for negative angle of attack for linear Cn curve
-5.00          Angle of attack for minimum CD (deg)
0.0125         Minimum CD value
   -180.00   -0.0626    0.0060
   -179.00    0.0686    0.0065
   -178.00    0.1992    0.0081
   -177.00    0.3238    0.0107
   -176.00    0.4252    0.0143
   -175.00    0.4808    0.0189
   -174.00    0.4843    0.0246
   -173.00    0.4552    0.0313
   -172.00    0.4195    0.0389
   -171.00    0.3915    0.0475
   -170.00    0.3750    0.0571
   -169.00    0.3685    0.0677
   -168.00    0.3695    0.0792
   -167.00    0.3757    0.0916
   -166.00    0.3855    0.1049
   -165.00    0.3976    0.1191
   -164.00    0.4110    0.1341
   -163.00    0.4251    0.1500
   -162.00    0.4395    0.1668
   -161.00    0.4538    0.1843
   -160.00    0.4679    0.2026
   -159.00    0.4815    0.2217
   -158.00    0.4946    0.2414
   -157.00    0.5069    0.2619
   -156.00    0.5185    0.2831
   -155.00    0.5294    0.3049
   -154.00    0.5393    0.3273
   -153.00    0.5485    0.3503
   -152.00    0.5567    0.3739
   -151.00    0.5640    0.3980
   -150.00    0.5705    0.4227
   -149.00    0.5760    0.4477
   -148.00    0.5806    0.4733
   -147.00    0.5843    0.4992
   -146.00    0.5871    0.5255
   -145.00    0.5890    0.5522
   -144.00    0.5901    0.5791
   -143.00    0.5902    0.6064
   -142.00    0.5896    0.6338
   -141.00    0.5881    0.6615
   -140.00    0.5858    0.6894
   -139.00    0.5827    0.7174
   -138.00    0.5789    0.7455
   -137.00    0.5743    0.7737
   -136.00    0.5690    0.8019
   -135.00    0.5630    0.8301
   -134.00    0.5563    0.8584
   -133.00    0.5489    0.8865
   -132.00    0.5410    0.9145
   -131.00    0.5324    0.9424
   -130.00    0.5232    0.9702
   -129.00    0.5135    0.9978
   -128.00    0.5033    1.0251
   -127.00    0.4926    1.0521
   -126.00    0.4813    1.0789
   -125.00    0.4697    1.1054
   -124.00    0.4575    1.1315
   -123.00    0.4450    1.1572
   -122.00    0.4321    1.1824
   -121.00    0.4188    1.2073
   -120.00    0.4052    1.2317
   -119.00    0.3913    1.2555
   -118.00    0.3771    1.2789
   -117.00    0.3626    1.3016
   -116.00    0.3478    1.3238
   -115.00    0.3329    1.3454
   -114.00    0.3177    1.3663
   -113.00    0.3023    1.3866
   -112.00    0.2867    1.4062
   -111.00    0.2710    1.4251
   -110.00    0.2551    1.4433
   -109.00    0.2385    1.4607
   -108.00    0.2224    1.4773
   -107.00    0.2062    1.4932
   -106.00    0.1900    1.5083
   -105.00    0.1736    1.5225
   -104.00    0.1572    1.5359
   -103.00    0.1408    1.5484
   -102.00    0.1243    1.5601
   -101.00    0.1078    1.5708
   -100.00    0.0913    1.5807
    -99.00    0.0748    1.5897
    -98.00    0.0584    1.5978
    -97.00    0.0419    1.6049
    -96.00    0.0255    1.6111
    -95.00    0.0091    1.6163
    -94.00   -0.0072    1.6207
    -93.00   -0.0234    1.6240
    -92.00   -0.0396    1.6264
    -91.00   -0.0557    1.6279
    -90.00   -0.0717    1.6283
    -89.00   -0.0876    1.6278
    -88.00   -0.1035    1.6264
    -87.00   -0.1192    1.6240
    -86.00   -0.1347    1.6206
    -85.00   -0.1502    1.6163
    -84.00   -0.1655    1.6111
    -83.00   -0.1807    1.6049
    -82.00   -0.1957    1.5977
    -81.00   -0.2106    1.5897
    -80.00   -0.2253    1.5807
    -79.00   -0.2398    1.5708
    -78.00   -0.2541    1.5600
    -77.00   -0.2683    1.5484
    -76.00   -0.2822    1.5358
    -75.00   -0.2960    1.5225
    -74.00   -0.3095    1.5082
    -73.00   -0.3228    1.4932
    -72.00   -0.3358    1.4773
    -71.00   -0.3486    1.4607
    -70.00   -0.3612    1.4432
